Godina,Mjesec,Država,Šifra valute,Valuta,Jedinica,Kupovni za devize,Srednji za devize,Prodajni za devize
2011,Siječanj,SAD,840,USD,1,"5,521264","5,537878","5,554492"
2011,Veljača,SAD,840,USD,1,"5,415071","5,431365","5,447659"
2011,Ožujak,SAD,840,USD,1,"5,269498","5,285354","5,301210"
2011,Travanj,SAD,840,USD,1,"5,089919","5,105235","5,120550"
2011,Svibanj,SAD,840,USD,1,"5,126844","5,142271","5,157698"
2011,Lipanj,SAD,840,USD,1,"5,133452","5,148899","5,164346"
2011,Srpanj,SAD,840,USD,1,"5,177702","5,193281","5,208861"
2011,Kolovoz,SAD,840,USD,1,"5,176863","5,192441","5,208018"
2011,Rujan,SAD,840,USD,1,"5,404310","5,420572","5,436834"
2011,Listopad,SAD,840,USD,1,"5,451242","5,467645","5,484048"
2011,Studeni,SAD,840,USD,1,"5,496229","5,512767","5,529306"
2011,Prosinac,SAD,840,USD,1,"5,671595","5,688661","5,705727"
2012,Siječanj,SAD,840,USD,1,"5,829077","5,846617","5,864157"
2012,Veljača,SAD,840,USD,1,"5,716039","5,733239","5,750438"
2012,Ožujak,SAD,840,USD,1,"5,691908","5,709035","5,726162"
2012,Travanj,SAD,840,USD,1,"5,674213","5,691287","5,708361"
2012,Svibanj,SAD,840,USD,1,"5,853064","5,870676","5,888288"
2012,Lipanj,SAD,840,USD,1,"6,008630","6,026710","6,044790"
2012,Srpanj,SAD,840,USD,1,"6,071118","6,089386","6,107654"
2012,Kolovoz,SAD,840,USD,1,"6,023984","6,042111","6,060237"
2012,Rujan,SAD,840,USD,1,"5,770138","5,787501","5,804864"
2012,Listopad,SAD,840,USD,1,"5,766164","5,783514","5,800865"
2012,Studeni,SAD,840,USD,1,"5,858704","5,876333","5,893962"
2012,Prosinac,SAD,840,USD,1,"5,729851","5,747093","5,764334"
2013,Siječanj,SAD,840,USD,1,"5,684339","5,701444","5,718548"
2013,Veljača,SAD,840,USD,1,"5,647831","5,664825","5,681820"
2013,Ožujak,SAD,840,USD,1,"5,829234","5,846774","5,864314"
2013,Travanj,SAD,840,USD,1,"5,827482","5,845017","5,862552"
2013,Svibanj,SAD,840,USD,1,"5,810974","5,828459","5,845945"
2013,Lipanj,SAD,840,USD,1,"5,670112","5,687173","5,704235"
2013,Srpanj,SAD,840,USD,1,"5,716494","5,733695","5,750896"
2013,Kolovoz,SAD,840,USD,1,"5,630624","5,647567","5,664510"
2013,Rujan,SAD,840,USD,1,"5,673891","5,690963","5,708036"
2013,Listopad,SAD,840,USD,1,"5,568956","5,585714","5,602471"
2013,Studeni,SAD,840,USD,1,"5,634568","5,651523","5,668477"
2013,Prosinac,SAD,840,USD,1,"5,558682","5,575408","5,592134"
2014,Siječanj,SAD,840,USD,1,"5,580214","5,597005","5,613796"
2014,Veljača,SAD,840,USD,1,"5,592509","5,609337","5,626165"
2014,Ožujak,SAD,840,USD,1,"5,521670","5,538285","5,554900"
2014,Travanj,SAD,840,USD,1,"5,505575","5,522142","5,538708"
2014,Svibanj,SAD,840,USD,1,"5,507587","5,524160","5,540732"
2014,Lipanj,SAD,840,USD,1,"5,558035","5,574760","5,591484"
2014,Srpanj,SAD,840,USD,1,"5,590462","5,607284","5,624106"
2014,Kolovoz,SAD,840,USD,1,"5,707092","5,724264","5,741437"
2014,Rujan,SAD,840,USD,1,"5,871888","5,889556","5,907225"
2014,Listopad,SAD,840,USD,1,"6,019350","6,037462","6,055574"
2014,Studeni,SAD,840,USD,1,"6,122948","6,141372","6,159796"
2014,Prosinac,SAD,840,USD,1,"6,193721","6,212358","6,230995"
2015,Siječanj,SAD,840,USD,1,"6,575642","6,595428","6,615215"
2015,Veljača,SAD,840,USD,1,"6,765609","6,785967","6,806325"
2015,Ožujak,SAD,840,USD,1,"7,026477","7,047619","7,068762"
2015,Travanj,SAD,840,USD,1,"7,036641","7,057815","7,078988"
2015,Svibanj,SAD,840,USD,1,"6,742365","6,762653","6,782941"
2015,Lipanj,SAD,840,USD,1,"6,741533","6,761819","6,782104"
2015,Srpanj,SAD,840,USD,1,"6,859024","6,879663","6,900302"
2015,Kolovoz,SAD,840,USD,1,"6,764134","6,784488","6,804841"
2015,Rujan,SAD,840,USD,1,"6,725184","6,745421","6,765657"
2015,Listopad,SAD,840,USD,1,"6,760174","6,780515","6,800857"
2015,Studeni,SAD,840,USD,1,"7,042127","7,063317","7,084507"
2015,Prosinac,SAD,840,USD,1,"7,013836","7,034940","7,056045"
2016,Siječanj,SAD,840,USD,1,"7,020343","7,041467","7,062592"
2016,Veljača,SAD,840,USD,1,"6,862023","6,882671","6,903319"
2016,Ožujak,SAD,840,USD,1,"6,806563","6,827044","6,847525"
2016,Travanj,SAD,840,USD,1,"6,592952","6,612791","6,632629"
2016,Svibanj,SAD,840,USD,1,"6,595801","6,615648","6,635495"
2016,Lipanj,SAD,840,USD,1,"6,667354","6,687416","6,707478"
2016,Srpanj,SAD,840,USD,1,"6,746431","6,766731","6,787031"
2016,Kolovoz,SAD,840,USD,1,"6,650236","6,670247","6,690258"
2016,Rujan,SAD,840,USD,1,"6,663330","6,683380","6,703431"
2016,Listopad,SAD,840,USD,1,"6,777484","6,797877","6,818271"
2016,Studeni,SAD,840,USD,1,"6,929216","6,950066","6,970916"
2016,Prosinac,SAD,840,USD,1,"7,115134","7,136544","7,157954"
2017,Siječanj,SAD,840,USD,1,"7,082082","7,103393","7,124703"
2017,Veljača,SAD,840,USD,1,"6,978946","6,999946","7,020946"
2017,Ožujak,SAD,840,USD,1,"6,926043","6,946884","6,967725"
2017,Travanj,SAD,840,USD,1,"6,931016","6,951871","6,972727"
2017,Svibanj,SAD,840,USD,1,"6,714741","6,734946","6,755150"
2017,Lipanj,SAD,840,USD,1,"6,578250","6,598044","6,617838"
2017,Srpanj,SAD,840,USD,1,"6,426523","6,445860","6,465198"
2017,Kolovoz,SAD,840,USD,1,"6,250591","6,269399","6,288208"
2017,Rujan,SAD,840,USD,1,"6,230186","6,248933","6,267680"
2017,Listopad,SAD,840,USD,1,"6,357965","6,377096","6,396227"
2017,Studeni,SAD,840,USD,1,"6,411732","6,431025","6,450318"
2017,Prosinac,SAD,840,USD,1,"6,359439","6,378575","6,397711"
2018,Siječanj,SAD,840,USD,1,"6,092339","6,110671","6,129003"
2018,Veljača,SAD,840,USD,1,"5,993540","6,011575","6,029610"
2018,Ožujak,SAD,840,USD,1,"6,014922","6,033021","6,051120"
2018,Travanj,SAD,840,USD,1,"6,019764","6,037878","6,055991"
2018,Svibanj,SAD,840,USD,1,"6,219960","6,238676","6,257392"
2018,Lipanj,SAD,840,USD,1,"6,296087","6,315032","6,333977"
2018,Srpanj,SAD,840,USD,1,"6,308772","6,327756","6,346739"
2018,Kolovoz,SAD,840,USD,1,"6,395926","6,415171","6,434417"
2018,Rujan,SAD,840,USD,1,"6,346360","6,365456","6,384553"
2018,Listopad,SAD,840,USD,1,"6,432591","6,451947","6,471303"
2018,Studeni,SAD,840,USD,1,"6,518268","6,537882","6,557495"
2018,Prosinac,SAD,840,USD,1,"6,483728","6,503238","6,522748"
2019,Siječanj,SAD,840,USD,1,"6,483597","6,503106","6,522616"
2019,Veljača,SAD,840,USD,1,"6,508390","6,527974","6,547558"
2019,Ožujak,SAD,840,USD,1,"6,534748","6,554411","6,574075"
2019,Travanj,SAD,840,USD,1,"6,586800","6,606620","6,626440"
